kind,id,old_display_name_en,new_display_name_cn
goods,agricultural_machinery,Agricultural Machinery,农业机械
goods,aluminum,Aluminum,铝
goods,automobiles,Automobiles,汽车
goods,batteries,Batteries,电池
goods,bauxite,Bauxite,铝土矿
goods,beverages,Beverages,饮料
goods,bread,Bread,面包
goods,bricks,Bricks,砖
goods,canned_fish,Canned Fish,鱼罐头
goods,cement,Cement,水泥
goods,clay,Clay,黏土
goods,cloth,Cloth,布匹
goods,clothing,Clothing,衣物
goods,coal,Coal,煤炭
goods,computers,Computers,计算机
goods,concrete,Concrete,混凝土
goods,construction_components,Construction Components,建筑构件
goods,copper,Copper,铜
goods,copper_ore,Copper Ore,铜矿
goods,corn_food,Corn Food,玉米食品
goods,corn_grain,Corn Grain,玉米
goods,cotton_fiber,Cotton Fiber,棉纤维
goods,cotton_yarn,Cotton Yarn,棉纱
goods,crude_oil,Crude Oil,原油
goods,cut_stone,Cut Stone,切割石料
goods,dairy_products,Dairy Products,乳制品
goods,detergent,Detergent,洗涤剂
goods,edible_oil,Edible Oil,食用油
goods,electric_motor,Electric Motor,电动机
goods,electrical_equipment,Electrical Equipment,电气设备
goods,electricity,Electricity,电力
goods,electronic_components,Electronic Components,电子元件
goods,engines,Engines,发动机
goods,explosives,Explosives,炸药
goods,fertilizer,Fertilizer,化肥
goods,fish,Fish,鱼
goods,flax_fiber,Flax Fiber,亚麻纤维
goods,flax_yarn,Flax Yarn,亚麻纱
goods,flour,Flour,面粉
goods,footwear,Footwear,鞋类
goods,fur,Fur,毛皮
goods,furniture,Furniture,家具
goods,game_meat,Game Meat,野味肉
goods,glass,Glass,玻璃
goods,gold,Gold,金
goods,grain,Mixed Grain,杂粮
goods,horses,Horses,马
goods,household_appliances,Household Appliances,家用电器
goods,industrial_chemicals,Industrial Chemicals,工业化学品
goods,industrial_machinery,Industrial Machinery,工业机械
goods,iron_ore,Iron Ore,铁矿
goods,jewelry,Jewelry,珠宝
goods,latex,Natural Latex,乳胶
goods,lead,Lead,铅
goods,lead_ore,Lead Ore,铅矿
goods,leather,Leather,皮革
goods,lime,Lime,石灰
goods,limestone,Limestone,石灰岩
goods,livestock_products,Livestock Products,畜产品
goods,logs,Logs,原木
goods,lubricants,Lubricants,润滑剂
goods,lumber,Lumber,板材
goods,machine_parts,Machine Parts,机械零件
goods,manganese_alloy,Manganese Alloy,锰合金
goods,manganese_ore,Manganese Ore,锰矿
goods,meat,Meat,肉
goods,medicinal_herbs,Medicinal Herbs,药材
goods,natural_gas,Natural Gas,天然气
goods,nuclear_fuel,Nuclear Fuel,核燃料
goods,packaging,Packaging,包装材料
goods,paper,Paper,纸张
goods,petrochemicals,Petrochemicals,石化产品
goods,pharmaceuticals,Pharmaceuticals,药品
goods,phosphate_rock,Phosphate Rock,磷矿
goods,pig_iron,Pig Iron,生铁
goods,plastics,Plastics,塑料
goods,potato_food,Potato Food,马铃薯食品
goods,potatoes,Potatoes,马铃薯
goods,printed_materials,Printed Materials,印刷品
goods,processed_food,Processed Food,加工食品
goods,railway_equipment,Railway Equipment,铁路设备
goods,rare_earth_metals,Strategic Mineral Materials,稀土金属
goods,rare_earth_ore,Strategic Mineral Ore,稀土矿石
goods,raw_hide,Raw Hide,生皮
goods,raw_stone,Raw Stone,原石
goods,refined_fuel,Refined Fuel,精炼燃料
goods,rice_food,Rice Food,米饭食品
goods,rice_grain,Rice Grain,稻米
goods,salt,Salt,盐
goods,saltpeter,Saltpeter,硝石
goods,semiconductors,Semiconductors,半导体
goods,silica_sand,Silica Sand,硅砂
goods,silver,Silver,银
goods,soap,Soap,肥皂
goods,spices,Spices,香料
goods,stainless_steel,Stainless Steel,不锈钢
goods,steel,Steel,钢
goods,sulfur,Sulfur,硫磺
goods,synthetic_fiber,Synthetic Fiber,合成纤维
